DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201008883,05/09/2020 12:00:00 AM,05/09/2020 12:00:00 AM,0540,10,West Valley,1047,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444 0448 1813,38,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,5700    CHICOPEE                     AV,,34.1748,-118.5123
200913781,08/21/2020 12:00:00 AM,08/20/2020 12:00:00 AM,0503,09,Van Nuys,0923,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1402 1407 0913,0,X,X,101,STREET,107,OTHER FIREARM,AO,Adult Other,753,998,,,14600    KITTRIDGE                    ST,,34.1907,-118.4509
200812870,08/11/2020 12:00:00 AM,08/02/2020 12:00:00 AM,2300,08,West LA,0835,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,22,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,1800    OVERLAND                     AV,,34.0462,-118.4361
201113281,09/04/2020 12:00:00 AM,09/02/2020 12:00:00 AM,1800,11,Northeast,1171,1,310,BURGLARY,1608 0344,37,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,3600    EFFIE                        ST,,34.0924,-118.2752
200407198,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,0430,04,Hollenbeck,0466,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 1813 1243,27,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300 N  EVERGREEN                    AV,,34.0436,-118.2051
200104316,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,0747,01,Central,0162,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,32,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,700 S  OLIVE                        ST,,34.0467,-118.2556
200815799,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,0730,08,West LA,0828,2,354,THEFT OF IDENTITY,1822 0100 0930,80,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,10700    LINDBROOK                    DR,,34.0614,-118.4381
201211062,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1900,12,77th Street,1258,2,623,BATTERY POLICE (SIMPLE),1212 0417 1822,0,X,X,726,POLICE FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,,,,7600 S  BROADWAY,,33.9708,-118.2783
200512280,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1600,05,Harbor,0564,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0401 0432 0913 1241 1243 1813 2000,55,F,H,517,MISSIONS/SHELTERS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,500 S  HARBOR                       BL,,33.741,-118.2838
200216646,10/25/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1200,02,Rampart,0269,2,354,THEFT OF IDENTITY,0100 0922 1822,31,M,B,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,700    GARLAND                      AV,,34.0496,-118.2677
201219692,08/31/2020 12:00:00 AM,06/05/2020 12:00:00 AM,1800,12,77th Street,1268,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,82ND                         ST,MAIN                         ST,33.9651,-118.2739
200413464,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,1745,04,Hollenbeck,0408,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0400 0913 2000,43,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,4800    HILLSDALE                    DR,,34.0865,-118.1806
200713539,09/04/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1000,07,Wilshire,0784,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0603,64,M,O,101,STREET,,,IC,Invest Cont,440,,,,MANSFIELD,BANGOR,34.0361,-118.3505
200120973,11/13/2020 12:00:00 AM,11/12/2020 12:00:00 AM,2100,01,Central,0152,1,330,BURGLARY FROM VEHICLE,1307 0329 1609 0344 1822,30,M,B,101,STREET,,,IC,Invest Cont,330,,,,GRAND,7TH,34.0476,-118.2564
201108111,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,0500,11,Northeast,1107,2,624,BATTERY - SIMPLE ASSAULT,0561 0432 0400 1601 1202 1701 1242 0444,70,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1300    HEPNER                       AV,,34.1318,-118.1957
200608531,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1305,06,Hollywood,0643,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1822,0,X,X,402,MARKET,,,IC,Invest Cont,442,,,,7200 W  SUNSET                       BL,,34.1007,-118.3494
200711738,07/17/2020 12:00:00 AM,07/02/2020 12:00:00 AM,0400,07,Wilshire,0721,2,661,UNAUTHORIZED COMPUTER ACCESS,0344,25,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,661,,,,100 N  CLARK                        DR,,34.0753,-118.3849
200513966,09/08/2020 12:00:00 AM,09/04/2020 12:00:00 AM,1430,05,Harbor,0564,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1236,0,M,O,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,745,,,,400 W  6TH                          ST,,33.7388,-118.2869
200119228,10/11/2020 12:00:00 AM,10/11/2020 12:00:00 AM,2045,01,Central,0164,1,310,BURGLARY,1420 0344 1607 2004 1822,0,X,X,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,310,998,,,600 S  LOS ANGELES                  ST,,34.0446,-118.2507
200409389,05/31/2020 12:00:00 AM,05/31/2020 12:00:00 AM,1800,04,Hollenbeck,0455,1,761,BRANDISH WEAPON,0913 1814 2000 0334 0444,25,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,761,,,2100    CITY VIEW                    AV,,34.0515,-118.2073
200107228,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,2200,01,Central,0153,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,200 W  6TH                          ST,,34.046,-118.2509
200321313,12/06/2020 12:00:00 AM,12/06/2020 12:00:00 AM,1530,03,Southwest,0361,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,3900    STEVELY                      AV,,34.0159,-118.3536
200109910,03/31/2020 12:00:00 AM,03/31/2020 12:00:00 AM,2240,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,1218 2004 0416 0913,60,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,500    WALL                         ST,,34.0449,-118.2458
200705720,02/05/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1400,07,Wilshire,0732,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,500 S  FAIRFAX                      AV,,34.0665,-118.3662
200912278,07/13/2020 12:00:00 AM,07/12/2020 12:00:00 AM,2230,09,Van Nuys,0911,2,624,BATTERY - SIMPLE ASSAULT,0400,30,F,H,119,"PORCH, RESIDENTIAL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,7100    FIRMAMENT                    AV,,34.1993,-118.4724
200208642,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,0001,02,Rampart,0217,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,522,,,,1700    CLINTON                      ST,,34.0721,-118.262
200709141,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,0950,07,Wilshire,0702,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0325,48,M,H,235,PHARMACY INSIDE STORE OR SUPERMARKET*,,,IC,Invest Cont,440,,,,7500    MELROSE                      AV,,34.0837,-118.3532
200605994,02/11/2020 12:00:00 AM,02/10/2020 12:00:00 AM,0900,06,Hollywood,0649,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822,31,F,O,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440,,,,1500 N  HARVARD                      BL,,34.0981,-118.3044
200707378,03/13/2020 12:00:00 AM,03/12/2020 12:00:00 AM,0915,07,Wilshire,0734,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,31,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,300    HAUSER                       BL,,34.0699,-118.3511
200715141,10/21/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1200,07,Wilshire,0775,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,4800 W  17TH                         ST,,34.0449,-118.3411
201105686,02/08/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1550,11,Northeast,1113,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0325,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,2800    COLORADO                     BL,,34.1428,-118.226
200407426,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1830,04,Hollenbeck,0407,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,IC,Invest Cont,442,,,,4600    HUNTINGTON DR,,34.0881,-118.1877
201014312,10/22/2020 12:00:00 AM,10/21/2020 12:00:00 AM,2000,10,West Valley,1003,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1414 1420 1402 1300 1307,34,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,998,,,18500    SATICOY                      ST,,34.2148,-118.5404
200217634,11/19/2020 12:00:00 AM,11/19/2020 12:00:00 AM,1840,02,Rampart,0245,2,624,BATTERY - SIMPLE ASSAULT,0913 0603 0400 0361,52,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,2500 W  6TH                          ST,,34.0617,-118.2795
201212398,05/07/2020 12:00:00 AM,05/06/2020 12:00:00 AM,1800,12,77th Street,1203,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,32,M,H,108,PARKING LOT,,,IC,Invest Cont,341,,,,5000 S  WESTERN                      AV,,33.998,-118.3089
200505875,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2030,05,Harbor,0566,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1000 S  PACIFIC                      AV,,33.7352,-118.2879
201221820,10/02/2020 12:00:00 AM,10/02/2020 12:00:00 AM,0600,12,77th Street,1273,2,624,BATTERY - SIMPLE ASSAULT,1202 1701 2021 0913 0562 0444 0443,85,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,8800 S  HALLDALE                     AV,,33.9574,-118.3025
200715653,11/05/2020 12:00:00 AM,11/05/2020 12:00:00 AM,1600,07,Wilshire,0701,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WARING                       AV,N  EDINBURGH                    AV,34.0855,-118.3638
201109241,05/11/2020 12:00:00 AM,05/08/2020 12:00:00 AM,1500,11,Northeast,1172,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1500    SILVER LAKE                  BL,,34.0867,-118.2701
200816363,11/13/2020 12:00:00 AM,11/06/2020 12:00:00 AM,0836,08,West LA,0881,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0337,73,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,11600    MISSOURI                     AV,,34.0391,-118.4506
200815583,10/22/2020 12:00:00 AM,10/22/2020 12:00:00 AM,1700,08,West LA,0857,1,310,BURGLARY,0344 1822 1606,32,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,1100    GLENVILLE                    DR,,34.0557,-118.3928
200709021,05/07/2020 12:00:00 AM,05/06/2020 12:00:00 AM,1730,07,Wilshire,0735,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,41,F,A,203,OTHER BUSINESS,511,VERBAL THREAT,AO,Adult Other,930,,,,5400    WILSHIRE                     BL,,34.0633,-118.3473
200200671,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1030,02,Rampart,0292,1,310,BURGLARY,0344 1607 0396,64,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,1000 W  WASHINGTON                   BL,,34.0396,-118.2833
200106175,01/31/2020 12:00:00 AM,01/31/2020 12:00:00 AM,0830,01,Central,0157,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1605 1218 0344,49,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
200617010,10/22/2020 12:00:00 AM,10/01/2020 12:00:00 AM,1400,06,Hollywood,0647,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1300 0913,27,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,1600 N  GOWER                        ST,,34.0998,-118.3223
201013217,09/18/2020 12:00:00 AM,09/12/2020 12:00:00 AM,0001,10,West Valley,1017,1,820,ORAL COPULATION,0400 0913 0443 0512 0413,30,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,820,,,,17100    COVELLO                      ST,,34.2075,-118.5068
200104594,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2145,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,0910 0416 2004 1822,20,M,H,903,MTA - RED LINE - 7TH AND METRO CENTER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  FIGUEROA                     ST,,34.0509,-118.2585
200110052,04/04/2020 12:00:00 AM,04/02/2020 12:00:00 AM,2000,01,Central,0101,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900    FIGUEROA                     TR,,34.0663,-118.2441
200517669,12/10/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1100,05,Harbor,0517,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1100    BROAD                        AV,,33.7849,-118.2612
200510674,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1800,05,Harbor,0526,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FRIES,ANAHEIM,33.7799,-118.265
200916925,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,0700,09,Van Nuys,0981,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,52,M,W,108,PARKING LOT,,,IC,Invest Cont,440,,,,14800 W  VENTURA                      BL,,34.154,-118.4674
200321746,12/14/2020 12:00:00 AM,11/24/2020 12:00:00 AM,1355,03,Southwest,0311,2,354,THEFT OF IDENTITY,0100 0930 0922,41,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5300    CARLIN                       ST,,34.0299,-118.3595
201110606,06/19/2020 12:00:00 AM,06/16/2020 12:00:00 AM,2002,11,Northeast,1123,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,40,F,W,101,STREET,,,AO,Adult Other,331,,,,LEGION                       LN,DOVER                        ST,34.121,-118.2685
200116446,08/15/2020 12:00:00 AM,08/12/2020 12:00:00 AM,1700,01,Central,0164,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0394,41,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,600 S  MAIN                         ST,,34.0448,-118.2504
200708242,04/13/2020 12:00:00 AM,04/08/2020 12:00:00 AM,1700,07,Wilshire,0725,1,310,BURGLARY,0397 0344 0358,52,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,100 N  VISTA                        ST,,34.0736,-118.3522
200617231,10/26/2020 12:00:00 AM,10/26/2020 12:00:00 AM,1900,06,Hollywood,0667,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0400 0432 0443 0422 2040 1202,62,M,W,702,OFFICE BUILDING/OFFICE,511,VERBAL THREAT,AO,Adult Other,930,,,,5800 W  SUNSET                       BL,,34.0981,-118.3158
200716147,11/19/2020 12:00:00 AM,11/19/2020 12:00:00 AM,1800,07,Wilshire,0729,1,210,ROBBERY,0344 0449 0216 0432,34,F,W,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,210,,,,FIRST                        ST,LARCHMENT                    BL,34.0726,-118.3279
200807585,03/22/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1030,08,West LA,0833,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377 1822,50,F,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,440,,,,10900    WILSHIRE                     BL,,34.0588,-118.4439
200709741,05/28/2020 12:00:00 AM,05/28/2020 12:00:00 AM,1453,07,Wilshire,0701,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1309,31,F,W,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,8400    MELROSE                      PL,,34.0835,-118.3734
200111101,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,0830,01,Central,0154,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 2004,57,F,B,710,OTHER PREMISE,,,AO,Adult Other,740,,,,500 S  MAIN                         ST,,34.0467,-118.2485
201005417,02/03/2020 12:00:00 AM,02/01/2020 12:00:00 AM,0001,10,West Valley,1008,2,354,THEFT OF IDENTITY,0100 1202 0930 0922,74,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,16700    SHERMAN                      WY,,34.2077,-118.4912
200215572,09/27/2020 12:00:00 AM,07/27/2020 12:00:00 AM,1600,02,Rampart,0248,2,850,INDECENT EXPOSURE,0603 0361 0529 1822,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,850,,,,300    COLUMBIA                     AV,,34.0572,-118.2658
200105054,01/15/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1700,01,Central,0192,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1822 0377 0321 0344,32,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,400 W  PICO                         BL,,34.0389,-118.2643
200319565,10/29/2020 12:00:00 AM,10/29/2020 12:00:00 AM,1600,03,Southwest,0334,2,624,BATTERY - SIMPLE ASSAULT,1822 0329 0416 1300 1309,31,F,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3600    11TH                         AV,,34.0216,-118.3296
200316589,08/31/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1245,03,Southwest,0357,2,624,BATTERY - SIMPLE ASSAULT,0361 0431 0913,19,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,624,,,,1200    EXPOSITION                   BL,,34.0184,-118.2952
200708689,04/28/2020 12:00:00 AM,04/27/2020 12:00:00 AM,1030,07,Wilshire,0745,1,330,BURGLARY FROM VEHICLE,1822 1300 1307 0344,52,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,5600    WILSHIRE                     BL,,34.0624,-118.3504
201111404,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1630,11,Northeast,1162,1,450,THEFT FROM PERSON - ATTEMPT,0355,14,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,450,,,,1100 N  VERMONT                      AV,,34.0909,-118.2917
200708936,05/05/2020 12:00:00 AM,05/04/2020 12:00:00 AM,0920,07,Wilshire,0701,2,354,THEFT OF IDENTITY,0930 0929,35,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,700 N  HAYWORTH                     AV,,34.0838,-118.3627
201300868,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,0215,13,Newton,1344,1,210,ROBBERY,1822 1402 0344 0432,0,M,H,101,STREET,205,KITCHEN KNIFE,AA,Adult Arrest,210,998,,,CENTRAL                      AV,42ND                         ST,34.0075,-118.2565
200711610,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1430,07,Wilshire,0721,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 0378,29,M,B,406,OTHER STORE,,,IC,Invest Cont,341,,,,8500    BEVERLY                      BL,,34.0761,-118.3772
200619489,12/21/2020 12:00:00 AM,12/21/2020 12:00:00 AM,0300,06,Hollywood,0668,1,761,BRANDISH WEAPON,0450 0913 1100 0334 1407 0603 0421 0353,51,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,AA,Adult Arrest,753,761,930,998,5600    FERNWOOD                     AV,,34.0958,-118.311
200614630,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1500,06,Hollywood,0625,2,888,TRESPASSING,1822 1202 1300 1309,82,F,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,888,,,,6900    LOS TILOS                    RD,,34.1091,-118.3431
201213202,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2230,12,77th Street,1235,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1307 0329 0421 0432 0913 1310 0334,45,M,H,101,STREET,308,STICK,IC,Invest Cont,930,,,,1500 W  59TH                         ST,,33.9876,-118.3024
201224533,11/16/2020 12:00:00 AM,11/16/2020 12:00:00 AM,0005,12,77th Street,1256,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0913 1817,53,M,H,108,PARKING LOT,106,UNKNOWN FIREARM,AO,Adult Other,230,,,,FLORENCE                     AV,MENLO                        AV,33.9746,-118.2892
200412397,09/02/2020 12:00:00 AM,08/21/2020 12:00:00 AM,0800,04,Hollenbeck,0459,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,46,M,H,232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",,,IC,Invest Cont,440,,,,3000    FOLSOM                       ST,,34.0441,-118.1978
201204978,01/15/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1730,12,77th Street,1269,1,330,BURGLARY FROM VEHICLE,0344 0358,38,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,400 E  83RD                         ST,,33.9638,-118.2673
200506064,02/18/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1730,05,Harbor,0529,2,624,BATTERY - SIMPLE ASSAULT,0602 0913 2024 0417 0562,31,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,624,,,,900    BANNING                      BL,,33.7817,-118.2574
200118974,10/06/2020 12:00:00 AM,09/29/2020 12:00:00 AM,1340,01,Central,0124,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,22,M,H,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,930,,,,100 W  1ST                          ST,,34.0522,-118.2434
201113027,08/29/2020 12:00:00 AM,08/28/2020 12:00:00 AM,2335,11,Northeast,1184,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,58,F,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,1800    PARK                         DR,,34.0812,-118.252
200915605,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,0930,09,Van Nuys,0964,2,354,THEFT OF IDENTITY,0344 1822,33,M,H,108,PARKING LOT,,,IC,Invest Cont,354,,,,4700    WOODMAN                      AV,,34.1603,-118.4399
200809661,05/19/2020 12:00:00 AM,05/18/2020 12:00:00 AM,1730,08,West LA,0852,1,330,BURGLARY FROM VEHICLE,0344 1822 0321,33,F,W,104,DRIVEWAY,,,IC,Invest Cont,330,,,,1600    BARRY                        AV,,34.0432,-118.4541
200604700,01/16/2020 12:00:00 AM,01/15/2020 12:00:00 AM,0001,06,Hollywood,0645,1,330,BURGLARY FROM VEHICLE,0344 0358 1300 1609,35,M,O,101,STREET,,,IC,Invest Cont,330,,,,HAWTHORN                     AV,SYCAMORE                     AV,34.1004,-118.3433
200305025,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,1400,03,Southwest,0398,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600 W  VERNON                       AV,,34.0074,-118.285
200409165,05/24/2020 12:00:00 AM,05/24/2020 12:00:00 AM,0135,04,Hollenbeck,0416,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1407,0,M,X,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,753,998,,,LINCOLN PARK                 AV,POMONA                       ST,34.0787,-118.2028
200908879,04/24/2020 12:00:00 AM,02/05/2020 12:00:00 AM,0800,09,Van Nuys,0926,2,662,"BUNCO, GRAND THEFT",0100 0344 0924 1822,34,M,O,710,OTHER PREMISE,,,IC,Invest Cont,662,,,,14400    HAMLIN                       ST,,34.1887,-118.4465
200613265,07/30/2020 12:00:00 AM,07/29/2020 12:00:00 AM,0730,06,Hollywood,0628,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5900    CHULA VISTA                  WY,,34.1074,-118.3193
